"48";"candy";"Teig";"pasta";"candi";"candito";"pasta";"ciasto";"candy"
"49";"cAndy";"Teig";"Pasta";"Candi";"Candito";"Pasta";"Ciasto";"Candy"
"50";"invert";"Sirup";"jarabe";"sirop";"sciroppo";"xarope";"syrop";"invert"
"51";"removedFood";"Futter entfernt";"alimento retirado";"nourriture retirée";"cibo rimosso";"alimento removido";"usunięto pokarm";"removed food"
"52";"leftFood";"Futter verblieben";"alimento restante";"nourriture restante";"cibo rimasto";"alimento restante";"został pokarm";"left food"
"53";"dose";"Dosis";"dosis";"dose";"dose";"dose";"dawka";"dose"
"54";"belts";"Streifen";"tiras";"lanières";"strisce";"tiras";"paski";"belts"
"55";"mites";"Stück";"uds";"pièces";"pezzi";"unidades";"sztuk";"mites"
"56";"queenIs";"Königin ist";"la reina es";"la reine est";"la regina è";"rainha é";"matka jest";"queen is"
"57";"queenWasBornIn20";"Königin aus dem Jahr 20";"reina del ano 20";"reine née en 20";"regina dell'anno 20";"rainha do ano 20";"matka z roku 20";"queen was born in 20"
"58";"queenWasBornIn";"Königin aus dem Jahr";"reina del ano";"reine née en";"regina dell'anno";"rainha do ano";"matka z roku";"queen was born in "
"59";"numberOfFrame";"Anzahl Rahmen";"numero de cuadros";"nombre de cadres";"numero di telai";"número de quadros";"ilość ramek";"number of frame"
"60";"excluder";"Absperrgitter";"excluidor de reinas";"grille à reine";"escludi regina";"excluidora de rainhas";"krata odgrodowa";"excluder"
"61";"exclud";"Gitter";"excluidor";"grille";"escludi regina";"excluidora";"kratę";"excluder"
"62";"eXclud";"Gitter";"Excluidor";"Grille";"Escludi regina";"Excluidora";"Krata";"Excluder"
"63";"excludNo";"kein Gitter";"sin excluidor";"pas de grille";"nessun escludi regina";"sem excluidora";"brak kraty";"no excluder"
"64";"on";"auf";"en";"sur";"su";"em";"na";"on"
"65";"onBodyNumber";"auf Zarge Nummer";"en el alza numero";"sur la hausse numéro";"sul melario numero";"na alça número";"na korpusie numer";"on body number"
"66";"bottomBoard";"Boden";"piso";"plateau de fond";"fondo";"fundo";"podłoga";"bottom board"
"67";"dennica";"Bodenbrett";"piso";"plateau de fond";"fondo";"fundo";"dennica";"bottom board"
"68";"isIs";"ist";"es";"est";"è";"é";"jest";"is"
"69";"beePollenTrap";"Pollenfalle";"trampa de polen";"trappe à pollen";"raccoglitore di polline";"coletor de pólen";"poławiacz pyłku";"bee pollen trap"
"70";"colony";"Volk";"colonia";"colonie";"colonia";"colónia";"rodzina";"colony"
"71";"day";"Tag";"dia";"jour";"giorno";"dia";"dzień";"day"
"72";"month";"Monat";"mes";"mois";"mese";"mês";"miesiąc";"month"
"73";"year";"Jahr";"ano";"année";"anno";"ano";"rok";"year"
"74";"error";"Fehler";"Error";"Erreur";"Errore";"Erro";"Bład";"Error"
"75";"wrongCommand";"Falscher Befehl";"Comando incorrecto";"Commande incorrecte";"Comando errato";"Comando errado";"Złe polecenie";"Wrong command"
"76";"inspection";"Durchsicht";"inspeccion";"inspection";"ispezione";"inspeção";"przegląd";"inspection"
"77";"both";"beide";"ambos";"les deux";"entrambi";"ambos";"obie";"both"
"78";"invalidApiaryNumber";"ungültige Bienenstandnummer";"numero de colmenar invalido";"numéro de rucher invalide";"numero apiario non valido";"número de apiário inválido";"zły numer pasieki";"invalid apiary number"
"79";"allTheHivesAreOpen";"Alle Beuten sind geöffnet";"Todas las colmenas estan abiertas";"Toutes les ruches sont ouvertes";"Tutte le arnie sono aperte";"Todas as colmeias estão abertas";"Wszystkie ule są otwarte";"All the hives are open"
"80";"allHivesAreClose";"Alle Beuten sind geschlossen";"Todas las colmenas estan cerradas";"Toutes les ruches sont fermées";"Tutte le arnie sono chiuse";"Todas as colmeias estão fechadas";"Wszystkie ule są zamknięte";"All hives are close"
"81";"invalidHiveNumber";"ungültige Beutennummer";"numero de colmena invalido";"numéro de ruche invalide";"numero arnia non valido";"número de colmeia inválido";"zły numer ula";"invalid hive number"
"82";"invalidBodyNumber";"ungültige Zargennummer";"numero de alza invalido";"numéro de hausse invalide";"numero melario non valido";"número de alça inválido";"zły numer korposu";"invalid body number"
"83";"invalidHalfBodyNumber";"ungültige Halbzargennummer";"numero de media alza invalido";"numéro de demi-hausse invalide";"numero mezzo melario non valido";"número de meia-alça inválido";"zły numer półkorpusu";"invalid half body number"
"84";"invalidFrameNumber";"ungültige Rahmennummer";"numero de cuadro invalido";"numéro de cadre invalide";"numero telaino non valido";"número de quadro inválido";"zły numer ramki";"invalid frame number"
"85";"frameOn";"Rahmen mit";"cuadro de";"cadre avec";"telaino con";"quadro de";"ramka z";"frame on"
"86";"site";"Seiten";"lados";"côtés";"lato";"lados";"strony";"site"
"87";"save";"Speichern";"Guardar";"Enregistrer";"Salva";"Guardar";"Zapis";"Save"
"88";"noSave";"Speicherfehler - ungültige Rahmennummer";"Error al guardar - numero de cuadro invalido";"Erreur d'enregistrement - numéro de cadre invalide";"Errore di salvataggio - numero telaino non valido";"Erro ao guardar - número de quadro inválido";"Błąd zapisu - zły numer ramki";"No save - invalid frame number"
"89";"noSaveInfo";"Speicherfehler - ungültige Beutennummer";"Error al guardar - numero de colmena invalido";"Erreur d'enregistrement - numéro de ruche invalide";"Errore di salvataggio - numero arnia non valido";"Erro ao guardar - número de colmeia inválido";"Błąd zapisu - zły numer ula";"No save - invalid hive number"
"90";"thereAreNoHives";"Es gibt noch keine Beuten.";"Aun no hay colmenas.";"Il n'y a pas encore de ruches.";"Non ci sono ancora arnie.";"Ainda não existem colmeias.";"Nie ma jeszcze żadnych uli.";"There are no hives"
"91";"alert";"Achtung";"Atencion";"Attention";"Attenzione";"Atenção";"Uwaga";"Alert"
"92";"subscriptionEndsIn";"Abonnement endet in";"La suscripcion termina en";"L'abonnement expire dans";"L'abbonamento scade tra";"A subscrição termina em";"Subskrypcja kończy się za";"Subscription ends in"
"93";"days";"Tagen";"dias";"jours";"giorni";"dias";"dni";"days"
"94";"activationCodeWillBeSent";"Vielen Dank für die Angabe Ihrer E-Mail-Adresse. Der Aktivierungscode wurde an die angegebene Adresse gesendet.";"Gracias por enviar tu correo electronico. El codigo de activacion de la aplicacion ha sido enviado a la direccion proporcionada.";"Merci d'avoir envoyé votre adresse e-mail. Le code d'activation de l'application a été envoyé à l'adresse indiquée.";"Grazie per aver inviato il tuo indirizzo email. Il codice di attivazione per l'applicazione è stato inviato all'indirizzo fornito.";"Obrigado por enviar o seu endereço de email. O código de ativação da aplicação foi enviado para o endereço indicado.";"Dziękujemy za przesłanie adresu email. Kod aktywacyjny do aplikacji został wysłany na podany adres.";"Thank you for sending your email address. The activation code for the application has been sent to the provided address."
"95";"sendAgain";"Beim Senden ist ein Fehler aufgetreten. Bitte erneut senden.";"Se produjo un error durante el envio. Enviar de nuevo.";"Une erreur est survenue lors de l'envoi. Réessayez.";"Si è verificato un errore durante l'invio. Invia di nuovo.";"Ocorreu um erro durante o envio. Envie novamente.";"Wystąpił błąd podczas wysyłania. Wyślij ponownie.";"An error occurred while sending. Send it again."
"96";"success";"Aktivierung";"Activacion";"Activation";"Attivazione";"Ativação";"Aktywacja";"Success"
"97";"willBeActiveUntil";"App aktiv ";"Aplicacion activa ";"Application active ";"Applicazione attiva ";"Aplicação ativa ";"Aplikacja aktywna ";"The application is active "
"98";"errorWhileActivating";"Bei der Aktivierung der App ist ein Fehler aufgetreten.";"Se produjo un error al activar la aplicacion.";"Une erreur est survenue lors de l'activation de l'application.";"Si è verificato un errore durante l'attivazione dell'applicazione.";"Ocorreu um erro durante a ativação da aplicação.";"Wystapił błąd podczas aktywacji aplikacji.";"Error while activating the application."
"99";"activate";"Aktivierung";"Activar";"Activation";"Attivazione";"Ativação";"Aktywacja";"Activate"
"100";"cancel";"Abbrechen";"Cancelar";"Annuler";"Annulla";"Cancelar";"Anuluj";"Cancel"
"101";"enterYourActivationCode";"Geben Sie Ihren Aktivierungscode ein. Wenn Sie keinen Aktivierungscode haben, geben Sie Ihre E-Mail-Adresse ein, an die ein kostenloser Aktivierungscode gesendet wird. Weitere Informationen auf heymaya.eu";"Introduce tu codigo de activacion. Si no tienes un codigo de activacion, introduce tu direccion de correo electronico a la que se enviara el codigo de activacion gratuito. Mas informacion en heymaya.eu";"Entrez votre code d'activation. Si vous n'avez pas de code d'activation, saisissez votre adresse e-mail à laquelle le code d'activation gratuit sera envoyé. Plus d'informations sur heymaya.eu";"Inserisci il tuo codice di attivazione. Se non hai un codice di attivazione, inserisci il tuo indirizzo e-mail a cui verrà inviato il codice di attivazione gratuito. Maggiori informazioni su heymaya.eu";"Introduza o seu código de ativação. Se não tem um código de ativação, introduza o seu endereço de e-mail para receber o código de ativação gratuito. Mais informações em heymaya.eu";"Wprowadź swój kod aktywacyjny. Jeśli nie masz kodu aktywacyjnego, wpisz swój adres e-mail, na który wysłany zostanie kod do darmowej aktywacji. Więcej informacji na heymaya.eu";"Enter your activation code. If you do not have an activation code, enter your email address to which the free activation code will be sent. More information at heymaya.eu"
"102";"activationCodeAfterPaying";"Geben Sie Ihren Aktivierungscode ein. Wenn Sie keinen Aktivierungscode besitzen, geben Sie Ihre E-Mail-Adresse ein, um nach Bezahlung des Abonnements einen Aktivierungscode zu erhalten. Sie können die App auch ohne Aktivierung nutzen, jedoch ohne Sprachsteuerung. Weitere Informationen auf heymaya.eu";"Introduce tu codigo de activacion. Si no tienes un codigo de activacion, introduce tu correo electronico para recibir un codigo de activacion tras pagar la suscripcion. Tambien puedes usar la aplicacion sin activacion, pero sin el Control de voz. Mas informacion en heymaya.eu";"Entrez votre code d'activation. Si vous n'avez pas de code d'activation, saisissez votre adresse e-mail pour recevoir un code d'activation après le paiement de l'abonnement. Vous pouvez également utiliser l'application sans activation, mais sans la Commande vocale. Plus d'informations sur heymaya.eu";"Inserisci il tuo codice di attivazione. Se non hai un codice di attivazione, inserisci il tuo indirizzo e-mail per ricevere un codice di attivazione dopo il pagamento dell'abbonamento. Puoi anche utilizzare l'applicazione senza attivazione, ma senza il Controllo vocale. Maggiori informazioni su heymaya.eu";"Introduza o seu código de ativação. Se não tem um código de ativação, introduza o seu endereço de e-mail para receber o código de ativação após o pagamento da subscrição. Pode também usar a aplicação sem ativação, mas sem Controlo por Voz. Mais informações em heymaya.eu";"Wprowadź swój kod aktywacyjny. Jeżeli nie posiadasz kodu aktywacyjnego, wpisz swój adres e-mail, aby otrzymać kod aktywacyjny po opłaceniu abonamentu. Możesz także korzystać z aplikacji bez aktywacji, ale bez Sterowania głosem. Więcej informacji na heymaya.eu";"Enter your activation code. If you do not have an activation code, enter your e-mail address to receive an activation code after paying for the subscription. You can also use the application without activation but without Voice Control. More information at heymaya.eu"
"103";"codeOrEmail";"Code oder E-Mail";"Codigo o e-mail";"Code ou e-mail";"Codice o e-mail";"Código ou e-mail";"Kod lub e-mail";"Code or e-mail"
"104";"enterCodeOrEmail";"Code oder E-Mail eingeben";"Introduce codigo o e-mail";"Entrez le code ou l'e-mail";"Inserisci codice o e-mail";"Introduza código ou e-mail";"Wpisz kod lub e-mail";"Enter code or e-mail"
"105";"noInternet";"Keine Internetverbindung.";"Sin conexion a internet.";"Pas de connexion Internet.";"Nessuna connessione Internet.";"Sem ligação à internet.";"Brak połączenia z internetem.";"No internet connection."
"106";"noActivation";"Ohne Aktivierung";"Sin activacion";"Sans activation";"Senza attivazione";"Sem ativação";"Bez aktywacji";"No activation"
"107";"subscription";"Abonnement";"Suscripcion";"Abonnement";"Abbonamento";"Subscrição";"Subskrybcja";"Subscription"
"108";"hives";"Beute(n)";"colmena(s)";"ruche(s)";"arnie";"colmeia(s)";"ule(i)";"hives"
"109";"hIve";"Beute";"Colmena";"Ruche";"Arnia";"Colmeia";"Ul";"Hive"
"110";"dAy";"Tag";"Dia";"Jour";"Giorno";"Dia";"Dzień";"Day"
"111";"removeThisItem";"Möchten Sie dieses Element löschen?";"Deseas eliminar este elemento?";"Voulez-vous supprimer cet élément ?";"Vuoi rimuovere questo elemento?";"Deseja remover este elemento?";"Czy chcesz usunać ten element?";"Are you sure to remove this item?"
"112";"deletePermanently";"Das Element wird dauerhaft gelöscht.";"Esto eliminara el elemento permanentemente.";"Cela supprimera définitivement l'élément.";"L'elemento verrà eliminato definitivamente.";"Isto irá eliminar permanentemente o elemento.";"Spowoduje to trwałe usunięcie elementu.";"It will delete item permanently."
"113";"inspectionDeleted";"Durchsicht wurde gelöscht";"La inspeccion ha sido eliminada";"L'inspection a été supprimée";"L'ispezione è stata eliminata";"A inspeção foi eliminada";"Przegląd został usunięty";"The inspection has been deleted"
"114";"yesDelete";"Ja, löschen";"Si, eliminar";"Oui, supprimer";"Sì, elimina";"Sim, eliminar";"Tak, usuń";"Yes Delete"
"115";"cantDelete";"Das letzte Element kann nicht gelöscht werden!";"No se puede eliminar el ultimo elemento!";"Impossible de supprimer le dernier élément !";"Non è possibile eliminare l'ultimo elemento!";"Não é possível eliminar o último elemento!";"Nie można usunąć ostatniego elementu!";"You can't delete last item!"
"116";"deleteWholeIspection";"Sie können die gesamte Durchsicht auf dem Bildschirm mit Informationen zu allen Durchsichten löschen.";"Puedes eliminar toda la inspeccion en la pantalla con informacion sobre todas las inspecciones.";"Vous pouvez supprimer toute l'inspection sur l'écran avec les informations sur toutes les inspections.";"Puoi eliminare l'intera ispezione nella schermata con le informazioni su tutte le ispezioni.";"Pode eliminar toda a inspeção no ecrã com informações sobre todas as inspeções.";"Możesz usunąć cały przegląd na ekranie z informacjami o wszystkich przeglądach.";"You can delete whole ispection in screen witch information about all inspections."
"117";"smallFrame";"Rahmen";"cuadro";"cadre";"telaino";"quadro";"ramka";"frame"
"118";"fRame";"Rahmen";"Cuadro";"Cadre";"Telaino";"Quadro";"Ramka";"Frame"
"119";"noDetailsYet";"Es gibt noch keine Elemente.";"Aun no hay elementos.";"Il n'y a pas encore d'éléments.";"Non ci sono ancora elementi.";"Ainda não existem elementos.";"Nie ma jeszcze żadnych elementów.";"There are no details yet."
"120";"editInspectionHive";"Durchsicht der Beute bearbeiten";"Edicion de inspeccion de colmena";"Édition de l'inspection de la ruche";"Modifica ispezione arnia";"Edição da inspeção da colmeia";"Edycja przeglądu ula";"Edit inspection hive"
"121";"bigInspections";"DURCHSICHTEN";"INSPECCIONES";"INSPECTIONS";"ISPEZIONI";"INSPEÇÕES";"PRZEGLADY";"INSPECTIONS"
"122";"noInfoInThisCategory";"Es gibt noch keine Informationen in dieser Kategorie.";"Aun no hay informacion en esta categoria.";"Il n'y a pas encore d'informations dans cette catégorie.";"Non ci sono ancora informazioni in questa categoria.";"Ainda não existem informações nesta categoria.";"Nie ma jeszcze żadnych informacji w tej kategorii.";"There is no information in this category yet."
"123";"disable";"Schließen";"Cerrar";"Fermer";"Chiudi";"Fechar";"Zamknij";"Disable"
"124";"inspectionHive";"Durchsicht der Beute";"Inspeccion de colmena";"Inspection de la ruche";"Ispezione arnia";"Inspeção da colmeia";"Przegląd ula";"Inspection hive"
"125";"noInspectionYet";"Es gibt noch keine Durchsichten.";"Aun no hay inspecciones.";"Il n'y a pas encore d'inspections.";"Non ci sono ancora ispezioni.";"Ainda não existem inspeções.";"Nie ma jeszcze żadnych przeglądów.";"There are no inspection yet."
"126";"left";"links";"izquierda";"gauche";"sinistra";"esquerda";"lewa";"left"
"127";"right";"rechts";"derecha";"droite";"destra";"direita";"prawa";"right"
"128";"inspectionSay";"Durchsicht:";"Inspeccion:";"Inspection :";"Ispezione:";"Inspeção:";"Przegląd:";"Inspection:"
"129";"oPen";"Öffnen";"Abrir";"Ouvrir";"Apri";"Abrir";"Otwórz";"Open"
"130";"sEt";"Einstellen";"Establecer";"Définir";"Imposta";"Definir";"Ustaw";"Set"
"131";"number";"Nummer";"numero";"numéro";"numero";"número";"numer";"number"
"132";"nUmber";"Nummer";"Numero";"Numéro";"Numero";"Número";"Numer";"Number"
"133";"iNspection";"Durchsicht";"Inspeccion";"Inspection";"Ispezione";"Inspeção";"Przegląd";"Inspection"
"134";"leftRightBoth";"von links/rechts/beiden";"por la izquierda/derecha/ambos";"à gauche/à droite/les deux";"a sinistra/destra/entrambi";"à esquerda/direita/ambos";"z lewej/prawej/obu";"on the left/right/both"
"135";"whenTheApiary";"(wenn Bienenstand, Beute, Zarge und Rahmen eingestellt sind, sagen Sie z.B.:)";"(cuando el colmenar, colmena, alza y cuadro estan establecidos, di p.ej.:)";"(quand le rucher, la ruche, la hausse et le cadre sont définis, dites par ex. :)";"(quando apiario, arnia, melario e telaino sono impostati, dì ad es.:)";"(quando o apiário, colmeia, alça e quadro estão definidos, diga p. ex.:)";"(kiedy pasieka, ul, korpus i ramka są ustawione, powiedz np.:)";"(when the apiary, hive, body and frame are open say e.g.:)"
"136";"leftRight";"von links/rechts";"por la izquierda/derecha";"à gauche/à droite";"a sinistra/destra";"à esquerda/direita";"z lewej/prawej";"on the left/right"
"137";"larvaeEggsPollenHoneySealdWaxComb";"Larven/Stifte/Bienenbrot/Honig/Futter/unreif/reif/Mittelwand/Leerwabe";"Larvas/huevos/pan de abeja/miel/alimento/sin opercular/operculada/cera/estirado";"Larves/œufs/pollen/miel/nourriture/non operculé/operculé/cire gaufrée/cadre bâti";"Larve/uova/polline/miele/cibo/non operc./opercolato/foglio cereo/telaino vuoto";"Larvas/ovos/perga/mel/alimento/não operculado/operculado/cera alveolada/quadro vazio";"Larwa/jajka/pierzga/miód/pokarm/nakrop/dojrzały/węza/susz";"larvae/eggs/pollen/honey/food/seald/wax/comb"
"138";"dElete";"Löschen";"Eliminar";"Supprimer";"Elimina";"Eliminar";"Usuń";"Delete"
"139";"workFrameToExtraction";"Arbeitsrahmen/muss geschleudert werden/muss entfernt werden/kann isoliert werden";"Cuadro de trabajo/para extraer/para eliminar/para aislar";"Cadre de travail/à extraire/à supprimer/à isoler";"Telaino di lavoro/da smelare/da rimuovere/da isolare";"Quadro de trabalho/para centrifugar/para remover/para isolar";"Ramka pracy/trzeba wirować/trzeba usunąć/można izolować";"work frame/to extraction/to delete/to insulate"
"140";"tOdo";"zu erledigen";"por hacer";"à faire";"da fare";"a fazer";"do zrobienia";"to do"
"141";"deletedInserted";"Rahmen entfernen/Rahmen einfügen/Isolation/nach links schieben/nach rechts schieben";"Eliminar cuadro/insertar cuadro/aislamiento/mover izquierda/mover derecha";"Supprimer cadre/insérer cadre/isolation/déplacer à gauche/déplacer à droite";"Rimuovi telaino/inserisci telaino/isolamento/sposta a sinistra/sposta a destra";"Remover quadro/inserir quadro/isolamento/mover à esquerda/mover à direita";"Usuń ramka/wstaw ramka/izolacja/przesuń w lewo/ przesuń w prawo";"deleted/inserted/insulated/moved left/moved right"
"142";"iSdone";"wurde erledigt";"esta hecho";"a été fait";"è stato fatto";"foi feito";"zostało zrobione";"is done"
"143";"equipmentSay";"Ausrüstung:";"Equipamiento:";"Équipement :";"Attrezzatura:";"Equipamento:";"Wyposażenie:";"Equipment:"
"144";"whenAtLeastApiaryAndHive";"(wenn mindestens Bienenstand und Beute eingestellt sind, sagen Sie z.B.:)";"(cuando al menos el colmenar y la colmena estan establecidos, di p.ej.:)";"(quand au moins le rucher et la ruche sont définis, dites par ex. :)";"(quando almeno apiario e arnia sono impostati, dì ad es.:)";"(quando pelo menos o apiário e a colmeia estão definidos, diga p. ex.:)";"(kiedy co najmniej pasieka i ul są ustawione, powiedz np.:)";"(when at least the apiary and hive are open say e.g.:)"
"145";"frameNumber";"Rahmennummer";"numero de cuadro";"numéro de cadre";"numero telaino";"número do quadro";"numer ramki";"frame number"
"146";"inBody";"in Zarge";"en el alza";"dans la hausse";"nel melario";"na alça";"na korpus";"in body"
"147";"bOttomBoard";"Boden/Bodenbrett";"Piso";"Plateau de fond";"Fondo";"Fundo";"Podłoga/dennica";"Bottom board"
"148";"isDisinfectedOkDirty";"ist ok/schmutzig/sauber";"esta ok/sucio/limpio";"est ok/sale/propre";"è ok/sporco/pulito";"está ok/sujo/limpo";"jest ok/brudna/czysta";"is ok/dirty/clean"
"149";"beepOllenTrap";"Pollenfalle";"Trampa de polen";"Trappe à pollen";"Raccoglitore polline";"Coletor de pólen";"Zbieracz pyłek";"Bee pollen trap"
"150";"queenSay";"Königin:";"Reina:";"Reine :";"Regina:";"Rainha:";"Matka:";"Queen:"
"151";"qUeen";"Königin";"Reina";"Reine";"Regina";"Rainha";"Matka";"Queen"
"152";"wasBornIn";"ist aus dem Jahr";"es del ano";"est née en";"è dell'anno";"é do ano";"jest z roku";"was born in"
"153";"bornIn";"Jahrgang";"ano de nacimiento";"année de naissance";"anno";"ano de nascimento";"rocznik";"born in"
"154";"isVirgine";"ist unbegattet/künstlich/natürlich";"es virgen/inseminada artificialmente/fecundada naturalmente";"est vierge/inséminée artificiellement/fécondée naturellement";"è vergine/inseminata artificialmente/fecondata naturalmente";"é virgem/inseminada artificialmente/fecundada naturalmente";"jest dziewica/sztuczna/naturalna";"is virgine/artificially inseminated/naturally mated"
"155";"isFreed";"ist frei/eingesperrt/im Käfig";"esta libre/en jaula/en aislador";"est libre/en cage/en isoloir";"è libera/in gabbietta/nell'isolatore";"está livre/na gaiola/no isolador";"jest wolna/zamknięta/w klatce";"is freed/in a cage/in the insulator"
"156";"isVeryGoodCanceled";"ist sehr gut/gut/ok/groß/klein/schwach/schlecht/alt";"es muy buena/buena/ok/grande/pequena/debil/mala/vieja";"est très bonne/bonne/ok/grande/petite/faible/mauvaise/vieille";"è ottima/buona/ok/grande/piccola/debole/cattiva/vecchia";"é muito boa/boa/ok/grande/pequena/fraca/má/velha";"jest bardzo dobra/dobra/ok/duża/mała/słaba/zła/stara";"is very good/good/ok/big/small/weak/canceled/to exchange"
